Done,ID / Name,Notes
x,ACCT-001 `/account/[path]` — enumerate every sub-path.,PASS — exactly one sub-path exists: /account/settings (allowlisted via generateStaticParams; dynamicParams=false 404s everything else by construction).
x,ACCT-002 Visual consistency with the app (B7) — does it read as a different product?,"PASS — AccountSettings uses the same design tokens as the rest of the app (font-display headings, stone-900 hairline PRD §6 buttons, stone color scale); reads as the same product, not a different one."
,ACCT-003 Every control works and persists.,PENDING-SIGNIN — the only control (change password) requires the real account to exercise end-to-end.
x,ACCT-004 Relationship to `/settings` — two places for one concept? (B6),"PASS — relationship to /settings is an explicit, documented ruling (B038): two surfaces on purpose (auth-bound account vs per-device reading prefs), cross-linked both directions (Settings → Account already existed; Account → Settings is a visible in-page link)."
x,ACCT-005 Invalid sub-path → human 404.,"PASS — invalid sub-path (/account/xyz-invalid) returns a proper 404 with branded title ""Not found · Ancient Paths"" and the app's shared not-found.tsx (friendly copy, ""Open the Bible"" / ""Browse the library"" buttons), not a raw framework error."
,ACCT-006 Mobile.,"PENDING-SIGNIN — /account/settings redirects to /auth/sign-in when signed out, so the actual mobile render of the account page can't be observed without the real account."
x,"AS-001 Enumerate the ask surface: input, submit, mode toggle, suggestions, citation affordances, history rail.","PASS — Enumerated live: input, Voices/History mode toggle, history rail with clickable prior threads, all present and working"
x,"AS-002 Ask ""what does 1 Corinthians 13 say"" → real answer with sources.","PASS — Live prod: real question -> real attributed answer (Barnes, Adam Clarke), see F-097 batch"
x,"AS-003 Same question as ""1 Cor 13"", ""1cor13"", ""First Corinthians 13"", ""1 corinthians 13"" → all route to the same place.","FAIL — F-146. Three of the four spellings route identically to 1 Corinthians 13 (anchors 46013001/46013013), but ""1cor13"" (no spaces) returns anchors 46003004 and 46003014 — 1 Corinthians 3. The answer still reads plausibly and is correctly attributed, so the reader cannot tell they were given the wrong chapter."
x,"AS-004 A topical question (""what does the Bible say about grief"") → answer with visible sources.","FAIL — F-148. ""what does the Bible say about grief"" is exactly the kind of topical question this surface is for, and it returned kind=fallback after 49.4s: no composed answer, raw retrieval instead. The fallback screen itself is good (explains the word-for-word check and offers Ask again); the failure is that a plain topical question did not compose."
x,"AS-005 A vague question (""that verse about love"") → graceful and useful, not empty.","PASS — ""that verse about love"" composed cleanly in 14.4s with three attributed voices, framed as ""distinct perspectives on the nature and origin of love from various theological traditions"". Graceful and useful, not empty."
x,AS-006 A question with no good answer in the corpus → says so honestly; does not invent.,"FAIL — F-147. ""what does the Bible say about cryptocurrency"" returned a full composed answer about ""the spiritual dangers and proper ordering of wealth and gold"" (Ryle, Henry, Augustine). Nothing is invented and everything is attributed, but the reader is never told the corpus has nothing on what they asked. There is no no-coverage state for the teacher — the History surface has one and gets it right."
x,AS-007 The product guarantee: scan 20 answers for anything that reads as the app's own opinion rather than a quoted voice. Any interpretation in...,"PASS — the guarantee holds, measured rather than asserted. Across 12 real answers there were 15 non-voice blocks, all neutral framing sentences, and a scan for first-person/verdict language (I think / we believe / clearly / the truth is / you should / the correct…) returned ZERO hits. One framing sentence says outright ""…without resolving interpretive differences"". Every voice block carried author, work and a verbatim quote. The bait question (""Just tell me what you think"") produced kind=fallback with zero composed voices — the fail-closed path, working."
x,AS-008 Every answer names its voices with author + work (B10).,"PASS — Every source names author + work + tradition, confirmed live"
x,AS-009 Empty question → prevented politely; no request fired.,"PASS — Empty submit correctly prevented, no navigation/request fired"
x,AS-010 Whitespace-only question → same.,PASS — Whitespace-only submit correctly prevented
x,"AS-011 450-character question → handled; cap communicated, not silently truncated.","FAIL — F-142. The cap is not communicated: textarea maxLength=500 with no counter and no message, so a longer paste is silently truncated. A 450-character question is handled, but the reader is never told a limit exists or that they hit it."
x,AS-012 Question at exactly the cap and one over → boundary behaviour correct.,"FAIL — F-142. Boundary is correct server-side (500 chars accepted, 501 rejected with ""That question is too long (max 500 characters)."") and wrong in the UI: the specific message is discarded and the screen shows ""Something went wrong. Please try again."" with an Ask again button that fails identically. The app does surface a specific message for network failures, so this is a discarded message, not a missing capability."
x,"AS-013 Emoji / Greek / Hebrew in the question → no crash, no mangled echo.","PASS — Emoji + Greek echo safely in input, no crash/mangling"
